"# THE WORKING COPY — this file at the art library root is the list the owner works from. The suite regenerates it (and a mirror under build/_image-prompts/) via npm run art-worklist in the suite repo; edit nothing by hand."
"# ART WORK LIST — generated by `node tools/gen-art-worklist.mjs` (npm run art-worklist). Regenerate rather than editing by hand."
"# FILENAMES USE HYPHENS (thri-kreen.webp) — NOT underscores (thri_kreen.webp). The sidecar wiring keys art to hyphenated entry-key slugs; a file named with underscores will never be found."
"# The filename is the slug of the document key (flags.<module>.key after the last dot) + .webp — never the build/ JSON filename, which can disagree with it."
"# The full save path opens every notes cell — every path points into the standalone art library (C:/Projects/FoundryVTT/DakksUltimateTokens/art/<kind-dir>/<slug>.webp). The library is edition-agnostic: the SAME slug reached from two packs or modules is ONE shared file, and the notes name every entry it serves."
"# THE LOOP: generate a batch -> save each file at the exact path in its notes cell -> npm run build in the suite (the build resolves library art by existence; a misnamed file silently does nothing — check the name against this CSV) -> reload Foundry."
"# Creature tokens: PNG with alpha first, verify per IMAGE-BRIEF.md §9, then convert to .webp. Sizes: Tiny–Large 512px, Huge 1024px, Gargantuan 1536px."
"# P1 = generate first (this module). P2 = later. P3 = a real library icon already exists — only for a unified look."
"# emblem = non-physical subject rendered as an item-icon-style sigil/effect; not in the original six kinds, added for full coverage (spells, proficiencies, skills, abilities, tables, journals). Classes are kind 'npc' (class portrait — archetypal member)."
"# CANON BACKLOG rows (kind monster, P3, no suite slot yet) merge the 5e SRD monster list (CC-BY mechanical fields only) with the Too Many Tokens name list (names only), deduped against our own creature rows — art pre-made for future campaigns/editions."
"filename","display_name","kind","size","token_type","visual_brief","priority","notes"
"thri-kreen.webp","Thri-Kreen","npc","Large","circular portrait","Upright large person (11 ft long), four clawed limbs plus a wide fanged maw, hard scaled or chitinous shell, long running legs, visible venom apparatus","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/races/thri-kreen.webp; also drop a copy at C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/thri-kreen.webp — the 'creatures' pack resolves art from its own directory; playable race; one file serves ds.race.thri-kreen (races) + npc.thri-kreen (creatures); placeholder library icon today — this is the real art gap"
"mul.webp","Mul","npc","Medium","circular portrait","Upright person (6 to 7 ft tall), armed with hand weapons","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/races/mul.webp; also drop a copy at C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/mul.webp — the 'creatures' pack resolves art from its own directory; playable race; one file serves ds.race.mul (races) + npc.mul (creatures); placeholder library icon today — this is the real art gap"
"half-giant.webp","Half-Giant","npc","Huge","circular portrait","Upright huge person (10 to 12 ft tall), armed with hand weapons, wearing strapped armour","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/races/half-giant.webp; also drop a copy at C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/half-giant.webp — the 'creatures' pack resolves art from its own directory; playable race; one file serves ds.race.half-giant (races) + npc.half-giant (creatures); placeholder library icon today — this is the real art gap"
"aarakocra.webp","Aarakocra","npc","Medium","circular portrait","Upright person (20 ft or more across the wings), armed with hand weapons, tough leathery hide, a flier, sun-bleached sand colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/races/aarakocra.webp; playable race; placeholder library icon today — this is the real art gap"
"black-dragon.webp","Black Dragon","monster","Gargantuan","top-down","Colossal (40 ft long), massively built, two clawed limbs and a biting head, sheathed in fused armour plating, a flier, a swimmer, visible venom apparatus","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/black-dragon.webp; placeholder library icon today — this is the real art gap"
"blue-dragon.webp","Blue Dragon","monster","Gargantuan","top-down","Colossal (56 ft long), massively built, two clawed limbs and a biting head, sheathed in fused armour plating, a flier, a burrower, distended throat or vent, sun-bleached sand colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/blue-dragon.webp; placeholder library icon today — this is the real art gap"
"brass-dragon.webp","Brass Dragon","monster","Gargantuan","top-down","Colossal (40 ft long), massively built, two clawed limbs and a biting head, sheathed in fused armour plating, a flier, a burrower, distended throat or vent, sun-bleached sand colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/brass-dragon.webp; placeholder library icon today — this is the real art gap"
"bronze-dragon.webp","Bronze Dragon","monster","Gargantuan","top-down","Colossal (56 ft long), massively built, two clawed limbs and a biting head, sheathed in fused armour plating, a flier, a swimmer, distended throat or vent","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/bronze-dragon.webp; placeholder library icon today — this is the real art gap"
"bugbear.webp","Bugbear","monster","Large","top-down","Large (7 ft tall), a heavy slamming limb, wearing strapped armour","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/bugbear.webp; placeholder library icon today — this is the real art gap"
"chimera.webp","Chimera","monster","Large","top-down","Large (5 ft tall), two clawed limbs, a goring horn and two biting heads, heavy bony or chitinous plating, a flier, distended throat or vent","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/chimera.webp; placeholder library icon today — this is the real art gap"
